twonames,strata,treat,voted2006,voted2004,voted2002,voted2000,voted1998,voted1996,age,regyear,voted2008,pid7,interest,votein2000,vote2000bush,vote2000gore,econretro,unemployment,bushapp,congapp,pt_gotmail,pt_gotphone,pt_gotface,pt_gotmoney,pt_gotad,pt_persuadeothers,pt_soughtinfo,pt_interest,pt_pid7,pt_votein2000,pt_vote2000bush,pt_vote2000gore,pt_novvote,pt_stayiniraq,pt_taxrich,pt_evalreagan,pt_evalcarter,pt_evaldem,pt_evalrep,pt_econretro,pt_postunemployperf,pt_bushapp,pt_congapp,pt_campaigndonation,pt_educ,pt_black,pt_hispanic,pt_church,pt_yob,pt_female,townshowsnoturnoutinvoterfile,R_persondead,R_movedpre,R_movedpost,R_badmailadddress,R_anybad,R_STRATACOAFILTER,SD_2,SD_3,SD_4,SD_5,SD_6,SD_7,SD_8,SD_9,SDA_1,SDA_2,SDA_3,SDA_5,SDA_6,SDA_7,stratactr,altstrata,SI_2,SI_3,SI_4,SI_5,SI_6,SI_7,SI_8,SI_9,STI_1,STI_2,STI_3,STI_4,STI_5,STI_6,STI_7,STI_8,STI_9,post_unif,post_affil,post_dem,post_rep,post_DUR,vffemale,vfgendermissing,age2,twophones,regyearmissing,combined_female
0,13,1,0,0,0,0,0,0,35,2005,0,3,1,1,1,0,-2,0,-2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1225,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,1,1,1,0,0,0,0,39,2004,0,5,2,1,0,0,-1,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1521,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,1,0,0,0,0,0,0,44,2007,0,4,2,1,1,0,-2,0,-2,-2,0,0,0,1,1,1,1,2,3,1,1,0,1,1,2,2,1,1,1,-2,-2,-2,-2,1,3,0,0,0.875,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1936,0,0,0
0,16,0,0,0,0,0,0,0,22,2004,0,6,0,0,0,0,-1,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,484,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,17,0,1,1,1,1,0,1,46,1980,0,7,2,1,1,0,-1,2,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2116,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,1,1,1,0,0,0,0,46,2007,0,3,2,1,0,1,-2,-1,-2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2116,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,0,1,1,0,0,0,0,43,2007,0,3,1,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1849,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,0,1,1,1,1,0,0,46,2002,0,3,2,1,0,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2116,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,1,0,1,0,0,0,0,27,2004,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,729,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,1,1,1,0,0,0,0,25,2004,0,4,2,1,1,0,-1,1,1,-1,0,0,0,0,1,1,1,2,5,1,1,0,1,2,2,0,0,1,1,-2,1,1,1,1,4,0,0,0.375,1983,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,625,0,0,0
0,13,0,1,0,0,0,0,0,47,2005,0,3,0,0,0,0,1,-2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2209,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,1,0,1,0,0,0,0,36,2004,0,4,1,1,0,0,-1,-1,-2,-2,0,0,0,0,1,0,1,1,4,1,0,0,0,-1,2,0,0,0,0,-2,0,-1,-2,1,4,0,0,0,1972,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1296,0,0,1
0,13,0,0,1,0,1,1,1,44,1991,0,3,2,1,0,1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1936,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,0,1,0,0,1,0,0,48,1993,0,5,0,1,1,0,-2,0,-1,-1,0,1,0,0,1,0,0,0,5,0,0,0,0,0,-1,1,1,1,0,-1,0,-1,0,1,3,0,0,0.875,1959,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2304,0,0,1
0,14,0,0,1,0,0,0,0,44,1989,0,4,1,1,1,0,1,2,2,0,0,0,0,1,0,1,2,4,1,1,0,1,2,1,2,0,0,0,-2,2,-1,1,4,0,0,0.375,1963,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1936,0,0,1,,
0,12,0,0,0,0,0,0,0,22,2007,0,2,1,0,0,0,-2,-1,-2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,484,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,0,1,1,0,0,0,0,35,1998,0,3,1,1,0,1,-1,0,-1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1225,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,1,0,0,1,0,0,0,39,2000,0,4,0,0,0,0,-2,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1521,0,0,1,,,,,,,,,,,,,,,,,,,,
0,12,0,0,0,0,0,0,0,48,2004,0,2,0,0,0,0,-2,0,-2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2304,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,17,0,1,1,0,0,0,0,37,2004,0,7,2,0,0,0,0,0,1,0,1,0,0,1,1,1,1,2,7,0,0,0,-1,1,-2,2,0,0,2,-1,-1,1,-1,1,4,0,0,0.875,1971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1369,0,0,1
